statut_commercialisation,specialite,dosage,forme,presentation,class_therapeutique,PPV
Non Commercialisé,ACULAR,"0,005",COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"36,3"
Non Commercialisé,ACUVAIL,"0,0045",COLLYRE EN SOLUTION,"BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML",OPHTALMOLOGIE,"127,5"
Non Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 100 ML,ANESTHESIE-REANIMATION,338
Commercialisé,AERRANE,1,LIQUIDE POUR INHALATION,FLACON DE 250 ML,ANESTHESIE-REANIMATION,756
Commercialisé,ALGIK,500   MG  /  50   MG,COMPRIME,BOITE DE 16,ANESTHESIE-REANIMATION,"12,4"
Commercialisé,ALGIK,500   MG  /  50   MG,SACHET,BOITE DE 20,ANESTHESIE-REANIMATION,"20,4"
Commercialisé,ALPHAGAN,"0,002",COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"85,5"
Commercialisé AO,AMOXICILLINE LLORENTE,250   MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"22,8"
Commercialisé AO,AMOXICILLINE LLORENTE,500   MG,GELULE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"32,3"
Commercialisé AO,AMOXICILLINE LLORENTE,500   MG,GELULE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"56,9"
Retiré du Marché,AMPICILLINE LLORENTE,250   MG,POUDRE POUR SUSPENTION BUVABLE,FLACON DE 60 ML,-,"24,5"
Non Commercialisé,AMPICILLINE LLORENTE,500   MG,GELULE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"34,3"
Non Commercialisé,AMPICILLINE LLORENTE,500   MG,GELULE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"61,8"
Retiré du Marché,AMPICILLINE LLORENTE,500   MG,POUDRE POUR PREPARATION INJECTABLE,BOITE DE 1 AMPOULE,-,"9,9"
Commercialisé,BELMAZOL,20   MG,GELULE,BOITE DE 14,GASTRO-ENTERO-HEPATOLOGIE,"45,8"
Commercialisé,BELMAZOL,20   MG,GELULE,BOITE DE 28,GASTRO-ENTERO-HEPATOLOGIE,"89,7"
Commercialisé,BELMAZOL,20   MG,GELULE,BOITE DE 7,GASTRO-ENTERO-HEPATOLOGIE,21
Commercialisé,BEMAG,500   MG  /  125   MG,SOLUTION BUVABLE,BOITE DE 20 AMPOULE DE 10 ML,METABOLISME-DIABETE-NUTRITION,"39,1"
Non Commercialisé,BIODROXIL,1000   MG,COMPRIME ENROBE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,143
Non Commercialisé,BIODROXIL,125   MG  /  5  ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"24,1"
Non Commercialisé,BIODROXIL,250   MG  /  5  ML,GRANULE POUR SUSPENSION ORALE,FLACON DE 45 G,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"42,9"
Non Commercialisé,BIODROXIL,500   MG,GELULE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"71,5"
Commercialisé AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"51,4"
Commercialisé AO,BIOMOX,1 G,COMPRIME DISPERSIBLE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"90,4"
Commercialisé AO,BIOMOX,250   MG,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"31,4"
Commercialisé AO,BIOMOX,250   MG,SUSPENSION BUVABLE,FLACON DE 60 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"21,9"
Commercialisé AO,BIOMOX,500   MG,GELULE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"32,3"
Commercialisé AO,BIOMOX,500   MG,GELULE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"56,9"
Commercialisé,BROMAX,"15   MG  /  5  ML (0,30%)",SOLUTION BUVABLE,FLACON DE 200 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"27,1"
Commercialisé,BROMAX,"30   MG  /  5  ML (0,6%)",SOLUTION BUVABLE,FLACON DE 200 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"30,8"
Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 20,PNEUMO-ALLERGO-PHTYSIOLOGIE,"84,6"
Non Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 30,PNEUMO-ALLERGO-PHTYSIOLOGIE,"123,8"
Commercialisé,BUDENA,100 MCG,AEROSOL NASAL,FLACON DE 200 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"139,2"
Commercialisé,BUDENA,200 MCG,AEROSOL,FLACON DE 200 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,234
Commercialisé AO,BUDENA,64 µG  /  DOSE,SUSPENSION POUR PELVERISATION NASALE,FLACON DE 120 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"67,9"
Commercialisé,CATEX,250   MG,COMPRIME,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"51,4"
Commercialisé,CATEX,250   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"90,5"
Commercialisé,CATEX,500   MG,COMPRIME,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"74,8"
Commercialisé,CATEX,500   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"131,6"
Commercialisé AO,CATEX,750   MG,COMPRIME,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,131
Commercialisé AO,CATEX,750   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,470
