Année,fr_Indicateur,ar_Indicateur,Ensemble,Thème
2024,Nombre de ménages,عدد الأسر,33188.0,CONDITIONS D'HABITAT
2024,Nombre moyen de personnes par pièce d'habitation,المتوسط العام لعدد الأشخاص لكل غرفة سكنية,1.4,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires disposant d'une cuisine (%),نسبة الأسر الساكنة التي تتوفر على مطبخ (%),98.8,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires disposant d'une fosse septique (%),نسبة الأسر الساكنة التي تتوفر على حفرة صحية (%),0.5,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires disposant de W.-C. (%),نسبة الأسر الساكنة التي تتوفر على مرحاض (%),99.7,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires disposant de l'eau courante (%),نسبة الأسر الساكنة التي تتوفر على ماء صالح للشرب (%),97.7,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires disposant de l'électricité (%)	,نسبة الأسر الساكنة التي تتوفر على الكهرباء (%),97.5,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires locataires (%)	,نسبة الأسر الساكنة المكتَرية للمسكن (%),20.6,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires propriétaires (%)	,نسبة الأسر الساكنة المالكة للمسكن (%),66.7,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires raccordés au réseau public d'assainissement (%)	,نسبة الأسر الساكنة المرتبطة بشبكة الصرف الصحي العمومية (%),99.4,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans un appartement (%),نسبة الأسر الساكنة التي تعيش في شقة (%),7.7,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),نسبة الأسر الساكنة التي تعيش في مسكن عمره بين 10 و19 سنة (%),35.5,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%)	,نسبة الأسر الساكنة التي تعيش في مسكن عمره بين 20 و49 سنة (%),39.4,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%)	,نسبة الأسر الساكنة التي تعيش في مسكن عمره 50 سنة أو أكثر (%),5.6,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%)	,نسبة الأسر الساكنة التي تعيش في مسكن عمره أقل من 10 سنوات (%),19.6,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans un logement rural (%)	,نسبة الأسر الساكنة التي تعيش في مسكن قروي (%),0.1,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans une maison marocaine (%)	,نسبة الأسر الساكنة التي تعيش في منزل مغربي تقليدي (%),91.2,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%)	,نسبة الأسر الساكنة التي تعيش في سكن عشوائي أو صفيحي (%),0.2,CONDITIONS D'HABITAT
2024,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%)	,نسبة الأسر الساكنة التي تعيش في فيلا أو طابق في فيلا (%),0.30000000000000004,CONDITIONS D'HABITAT
2024,Taille moyenne des ménages	,المتوسط العام لحجم الأسر,3.8,CONDITIONS D'HABITAT
2014,Nombre de ménages,عدد الأسر,29514.0,CONDITIONS D'HABITAT
2014,Nombre moyen de personnes par pièce d'habitation,المتوسط العام لعدد الأشخاص لكل غرفة سكنية,1.3,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires disposant d'une cuisine (%),نسبة الأسر الساكنة التي تتوفر على مطبخ (%),97.0,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires disposant d'une fosse septique (%),نسبة الأسر الساكنة التي تتوفر على حفرة صحية (%),1.8,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires disposant de W.-C. (%),نسبة الأسر الساكنة التي تتوفر على مرحاض (%),99.3,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires disposant de l'eau courante (%),نسبة الأسر الساكنة التي تتوفر على ماء صالح للشرب (%),92.4,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires disposant de l'électricité (%)	,نسبة الأسر الساكنة التي تتوفر على الكهرباء (%),92.3,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires locataires (%)	,نسبة الأسر الساكنة المكتَرية للمسكن (%),21.2,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires propriétaires (%)	,نسبة الأسر الساكنة المالكة للمسكن (%),68.9,CONDITIONS D'HABITAT
