year,section,type,Champ,Art,prog,Ligne,code,fr_label,ar_label,amount_previous,amount_proposed,amount_approved
2020,Fonctionnement,Crédits,0,0,0,0,00.00.00.00,Dépenses de Fonctionnement,ﻧﻔﻘﺎﺕ ﺍﻟﺘﺴﻴﻴﺮ   ,0.0,0.0,0.0
2020,Fonctionnement,Crédits,10,0,0,0,10.00.00.00,ADMINISTRATION GENERALE,ﺍﻹﺩﺍﺭﺓ ﺍﻟﻌﺎﻣﺔ,0.0,0.0,0.0
2020,Fonctionnement,Crédits,10,10,10,0,10.10.10.00,Action du Conseil ou Assemblée,ﺃﻧﺸﻄﺔ ﺍﻟﻣﺠﻠﺲ ,0.0,0.0,0.0
2020,Fonctionnement,Crédits,10,10,10,10,10.10.10.10,Indémnités représentatives de frais,ﺗﻌﻮﻳﻀﺎﺕ ﻣﻣﺜﻠﺔ ﻟﻠﻣﺼﺎﺭﻳﻒ    ,0.0,0.0,0.0
2020,Fonctionnement,Crédits,10,10,10,10,10.10.10.10,Indémnités au président et aux conseillers y ayant droit,ﺗﻌﻮﻳﻀﺎﺕ ﻟﻠﺮﺋﻴﺲ، ﻮﻟﺬﻮﻱ ﺍﻟﺤﻖ ﻣﻦ ﺍﻟﻣﺴﺘﺸﺎﺭﻳﻦ         ,487200.0,487200.0,487200.0
2020,Fonctionnement,Crédits,10,10,10,10,10.10.10.10,Frais de transport du président et des conseillers à lintérieur du Royaume,ﻣﺼﺎﺭﻳﻒ ﻧﻘﻞ ﺍﻟﺮﺋﻴﺲ ﻮﺍﻟﻣﺴﺘﺸﺎﺭﻳﻦ ﺩﺍﺧﻞ ﺍﻟﻣﻣﻠﻜﺔ        ,1000.0,1000.0,1000.0
2020,Fonctionnement,Crédits,10,10,10,10,10.10.10.10,Frais de transport du président et des conseillers à létranger,ﻣﺼﺎﺭﻳﻒ ﻧﻘﻞ ﺍﻟﺮﺋﻴﺲ ﻮﺍﻟﻣﺴﺘﺸﺎﺭﻳﻦ ﺑﺎﻟﺧﺎﺭﺝ      ,40000.0,40000.0,40000.0
2020,Fonctionnement,Crédits,10,10,10,10,10.10.10.10,Frais de déplacement du président et des conseillers à lintérieur du Royaume,ﻣﺼﺎﺭﻳﻒ ﺗﻧﻘﻞ ﺍﻟﺮﺋﻴﺲ ﻮﺍﻟﻣﺴﺘﺸﺎﺭﻳﻦ ﺩﺍﺧﻞ ﺍﻟﻣﻣﻠﻜﺔ          ,100000.0,100000.0,100000.0
2020,Fonctionnement,Crédits,10,10,10,10,10.10.10.10,Frais de mission du président et des conseillers à létranger,ﻣﺼﺎﺭﻳﻒ ﺍﻟﻣﻬﻣﺔ ﺑﺎﻟﺧﺎﺭﺝ ﻟﻠﺮﺋﻴﺲ ﻮﺍﻟﻣﺴﺘﺸﺎﺭﻳﻦ      ,80000.0,80000.0,80000.0
2020,Fonctionnement,Crédits,10,10,10,10,10.10.10.10,Frais dassurance des membres,ﻣﺼﺎﺭﻳﻒ ﺗﺄﻣﻴﻦ ﺍﻷﻋﻀﺎﺀ,50000.0,50000.0,50000.0
2020,Fonctionnement,Crédits,0,0,0,0,00.00.00.00,Total du projet  10,,758200.0,758200.0,758200.0
2020,Fonctionnement,Crédits,10,10,10,20,10.10.10.20,Frais de réception de restauration dhebergement et des fêtes,ﻣﺼﺎﺭﻳﻒ ﺍﻹﺴﺘﻘﺑﺎﻝ ﻮﺍﻹﻄﻌﺎﻡ ﻮﺍﻹﻗﺎﻣﺔ ﻮﺍﻹﺤﺘﻔﺎﻻﺕ       ,0.0,0.0,0.0
